Plate,d1_1,d1_2,d1_3,d2_1,d2_2,d2_3,d3_1,d3_2,d3_3
01B4,83,64,68,31,10,48,,,
01C1,49,84,51,64,3,,,,
01C2,0,0,0,0,0,0,,,
01C3,92,94,97,29,54,56,,,
01C4,90,3,90,56,102,30,,,
02B4,106,93,,30,18,110,,,
02C2,92,101,108,16,74,67,,,
03A4,90,72,79,30,48,27,,,
04A1,,,,,,,,,
04A2,99,109,143,45,11,45,,,
04A3,103,99,98,43,25,71,,,
04B4,49,78,79,78,46,,,,
05B3,75,63,,,,,,,
05C3,0,73,64,0,,,,,
05C4,96,93,98,17,13,19,,,
06A2,105,66,,47,25,,,,
06B4,51,96,52,15,33,64,,,
07C1,77,54,39,55,86,,,,
07C2,106,143,98,18,80,76,,,
07C3,77,62,116,16,47,19,,,
08A2,122,76,114,36,27,77,,,
08A4,122,116,119,57,27,57,,,
08B4,,,,47,25,115,,,
GFP,74,95,94,112,45,45,,,
OP50,116,153,155,36,41,31,,,